20140423 135134.594 [08996] CLI Starting up; pid 8996
20140423 135134.594 [08996] CLI Sauce Connect 4.1, build 905 bd71d37
20140423 135134.594 [08996] CLI Command line arguments: sc.exe -u TigerairQA -k ****
20140423 135135.793 [08996] CLI GET https://saucelabs.com/rest/v1/TigerairQA/tunnels?full=1 failed, response code: 401.
20140423 144341.350 [07248] KGP warning: no keepalive ack for > 5s
20140423 144342.350 [07248] KGP warning: no keepalive ack for > 5s
20140423 144343.350 [07248] KGP warning: no keepalive ack for > 5s
20140423 144344.984 [07248] PROXY 127.0.0.1:53752 <- bs.serving-sys.com:443 connection error: No error
20140423 144650.380 [07248] KGP warning: no keepalive ack for > 5s
20140423 144651.380 [07248] KGP warning: no keepalive ack for > 5s
20140423 144652.380 [07248] KGP warning: no keepalive ack for > 5s
20140423 144653.380 [07248] KGP warning: no keepalive ack for > 5s
20140423 144654.380 [07248] KGP warning: no keepalive ack for > 5s
20140423 144655.381 [07248] KGP warning: no keepalive ack for > 5s
20140423 144657.345 [07248] PROXY 127.0.0.1:54005 <- bs.serving-sys.com:443 connection error: No error
20140423 145243.309 [07248] PROXY 127.0.0.1:54306 <- bs.serving-sys.com:443 connection error: No error
20140423 145243.324 [07248] PROXY 127.0.0.1:54307 <- bs.serving-sys.com:443 connection error: No error
20140423 145243.487 [07248] PROXY 127.0.0.1:54310 <- bs.serving-sys.com:443 connection error: No error
20140423 145248.558 [07248] PROXY 127.0.0.1:54303 <- bs.serving-sys.com:443 connection error: No error
20140423 145655.476 [07248] KGP warning: no keepalive ack for > 5s
20140423 145656.477 [07248] KGP warning: no keepalive ack for > 5s
20140423 145657.477 [07248] KGP warning: no keepalive ack for > 5s
20140423 145705.798 [07248] PROXY 127.0.0.1:54683 <- bs.serving-sys.com:443 connection error: No error
20140423 145930.592 [07248] PROXY 127.0.0.1:54775 <- www.googletagmanager.com:80 connection error: No error
20140423 145931.590 [07248] PROXY 127.0.0.1:54769 <- bs.serving-sys.com:443 connection error: No error
20140423 150259.318 [07248] PROXY 127.0.0.1:55087 <- bs.serving-sys.com:443 connection error: No error
20140423 150259.434 [07248] PROXY 127.0.0.1:55078 <- bs.serving-sys.com:443 connection error: No error
20140423 150259.495 [07248] PROXY 127.0.0.1:55079 <- bs.serving-sys.com:443 connection error: No error
20140423 150419.530 [07248] PROXY 127.0.0.1:55329 <- dl1d2m8ri9v3j.cloudfront.net:80 DNS error: non-recoverable failure in name resolution (11003)
20140423 150420.559 [07248] KGP warning: no keepalive ack for > 5s
20140423 150421.559 [07248] KGP warning: no keepalive ack for > 5s
20140423 150422.559 [07248] KGP warning: no keepalive ack for > 5s
20140423 150429.265 [07248] PROXY 127.0.0.1:55339 <- bs.serving-sys.com:443 connection error: No error
20140423 150433.462 [07248] PROXY 127.0.0.1:55351 <- bs.serving-sys.com:80 DNS error: non-recoverable failure in name resolution (11003)
20140423 150701.585 [07248] KGP warning: no keepalive ack for > 5s
20140423 150702.585 [07248] KGP warning: no keepalive ack for > 5s
20140423 150703.585 [07248] KGP warning: no keepalive ack for > 5s
20140423 150706.698 [07248] PROXY 127.0.0.1:55559 <- bs.serving-sys.com:443 connection error: No error
20140423 151042.627 [07248] PROXY 127.0.0.1:55716 <- bs.serving-sys.com:443 connection error: No error
20140423 151042.638 [07248] PROXY 127.0.0.1:55717 <- bs.serving-sys.com:443 connection error: No error
20140423 151042.793 [07248] PROXY 127.0.0.1:55709 <- bs.serving-sys.com:443 connection error: No error
20140423 151044.948 [07248] PROXY 127.0.0.1:55723 <- bs.serving-sys.com:443 connection error: No error
20140423 151439.660 [07248] KGP warning: no keepalive ack for > 5s
20140423 151447.661 [07248] KGP warning: no keepalive ack for > 5s
20140423 151448.661 [07248] KGP warning: no keepalive ack for > 5s
20140423 151449.661 [07248] KGP warning: no keepalive ack for > 5s
20140423 151450.661 [07248] KGP warning: no keepalive ack for > 5s
20140423 151452.155 [07248] PROXY 127.0.0.1:56062 <- bs.serving-sys.com:443 connection error: No error
20140423 151545.670 [07248] KGP warning: no keepalive ack for > 5s
20140423 151643.677 [07248] KGP warning: no keepalive ack for > 5s
20140423 151644.677 [07248] KGP warning: no keepalive ack for > 5s
20140423 151746.685 [07248] KGP warning: no keepalive ack for > 5s
20140423 151747.685 [07248] KGP warning: no keepalive ack for > 5s
20140423 151802.686 [07248] KGP warning: no keepalive ack for > 5s
20140423 151803.686 [07248] KGP warning: no keepalive ack for > 5s
20140423 151805.687 [07248] KGP warning: no keepalive ack for > 5s
20140423 151806.688 [07248] KGP warning: no keepalive ack for > 5s
20140423 151807.688 [07248] KGP warning: no keepalive ack for > 5s
20140423 151808.688 [07248] KGP warning: no keepalive ack for > 5s
20140423 151809.688 [07248] KGP warning: no keepalive ack for > 5s
20140423 151810.688 [07248] KGP warning: no keepalive ack for > 5s
20140423 151813.557 [07248] PROXY 127.0.0.1:56359 <- bs.serving-sys.com:443 connection error: No error
20140423 151818.689 [07248] KGP warning: no keepalive ack for > 5s
20140423 151826.690 [07248] KGP warning: no keepalive ack for > 5s
20140423 151827.690 [07248] KGP warning: no keepalive ack for > 5s
20140423 151828.690 [07248] KGP warning: no keepalive ack for > 5s
20140423 151829.691 [07248] KGP warning: no keepalive ack for > 5s
20140423 151830.691 [07248] KGP warning: no keepalive ack for > 5s
20140423 151831.691 [07248] KGP warning: no keepalive ack for > 5s
20140423 151832.691 [07248] KGP warning: no keepalive ack for > 5s
